City,Temperature,Humidity,Cloudiness,WindSpeed,Latitude
port alfred,58.0,100,88,12.82,-33.59
arcata,57.2,87,90,8.05,40.87
punta arenas,33.8,69,20,14.99,-53.16
vaini,70.24,100,100,7.67,15.34
serenje,56.02,74,0,9.69,-13.23
grindavik,50.0,93,75,5.82,63.84
busselton,59.17,100,68,19.75,-33.64
antsohihy,79.15,51,0,11.25,-14.88
hermanus,40.99,100,36,3.65,-34.42
guerrero negro,70.33,97,20,6.89,27.97
marcianise,73.4,83,0,3.36,41.03
bluff,81.58,32,0,10.13,-23.58
barrow,44.23,58,48,11.48,-38.31
cobija,72.85,96,48,3.76,-11.02
cape town,51.8,93,75,6.93,-33.93
longyearbyen,39.82,99,44,2.53,78.22
ushuaia,33.8,80,40,31.09,-54.81
meulaboh,81.49,100,24,9.13,4.14
jumla,49.63,92,80,1.63,29.28
cockburn town,82.03,99,80,18.19,21.46
palana,54.04,86,76,4.09,59.08
sitka,81.94,43,0,16.84,37.17
albany,66.2,88,20,2.19,42.65
zhanaozen,85.27,33,80,3.76,43.35
tiksi,60.43,69,0,11.14,71.64
flin flon,59.53,88,0,10.58,54.77
saint-paul,64.4,77,0,2.75,45.22
rikitea,74.83,98,8,14.05,-23.12
norman wells,60.8,93,90,2.24,65.28
san luis,52.87,49,24,12.26,-33.3
mansehra,84.01,69,8,2.75,34.33
sarangani,85.0,95,48,8.46,5.4
port hardy,62.6,72,75,6.93,50.7
sovetskaya gavan,65.11,73,24,3.98,48.97
codrington,68.08,67,0,2.98,-28.95
nikolskoye,66.2,88,40,6.71,59.7
esperance,77.0,88,20,5.21,10.24
new norfolk,60.8,48,75,13.87,-42.78
qaanaaq,37.66,93,88,3.31,77.48
tuktoyaktuk,59.0,72,90,8.05,69.44
corinto,65.92,85,24,4.43,-18.36
kruisfontein,55.03,100,76,5.66,-34.0
georgetown,75.2,94,20,2.24,6.8
castro,50.8,97,92,7.45,-42.48
henties bay,48.1,100,0,6.33,-22.12
plettenberg bay,54.76,100,88,5.66,-34.05
victoria,86.0,79,75,5.82,5.28
upernavik,40.36,92,48,8.34,72.79
vestmannaeyjar,50.71,95,80,12.03,63.44
ponta do sol,54.4,89,20,2.75,-20.63
mayumba,69.52,97,92,5.77,-3.44
saskylakh,60.25,65,0,15.84,71.97
ponta delgada,69.8,77,75,8.05,37.73
east london,53.6,81,0,5.82,-33.02
avarua,75.2,73,40,21.92,-21.21
tasiilaq,42.79,100,8,2.08,65.61
progreso,44.6,100,90,3.36,-34.68
kirovskiy,69.16,82,80,3.09,45.09
jamestown,54.4,53,56,21.77,-33.21
kathu,39.82,67,0,9.01,-27.7
bredasdorp,46.4,93,24,4.7,-34.53
prince rupert,59.0,87,1,5.82,54.32
mataura,39.91,95,0,2.86,-46.19
ahipara,52.87,98,24,6.78,-35.17
thompson,53.6,81,90,10.29,55.74
quang ngai,83.2,73,92,2.86,15.12
dikson,40.36,100,92,21.88,73.51
mongo,70.24,100,92,3.31,4.83
saint-philippe,71.6,94,1,4.7,45.36
bathsheba,80.6,83,40,10.29,13.22
luderitz,47.92,93,20,3.76,-26.65
myitkyina,82.75,85,32,2.75,25.38
ketchikan,60.8,77,1,4.7,55.34
batagay,71.14,53,68,6.55,67.65
kapit,87.79,61,20,2.98,2.02
kargasok,56.83,63,36,7.23,59.06
lake havasu city,109.4,15,1,9.17,34.47
puerto ayora,69.25,100,32,12.59,-0.74
nome,77.0,83,1,3.76,30.04
padang,77.71,100,48,6.33,-0.92
pisco,59.0,87,20,2.24,-13.71
angoram,81.94,79,92,2.75,-4.06
vermilion,60.8,93,40,6.93,53.35
tabou,76.9,100,8,10.58,4.42
lakes entrance,61.24,59,0,6.89,-37.88
torbay,55.4,87,90,5.82,47.66
aklavik,59.0,77,90,5.82,68.22
chuy,51.52,98,92,15.73,-33.69
cherskiy,55.75,49,12,7.0,68.75
nishihara,95.0,59,40,8.05,35.74
ngorongoro,56.47,81,8,3.42,-3.24
atambua,83.92,78,56,5.44,-9.11
dunedin,39.46,96,0,2.42,-45.87
tayga,59.08,57,80,4.99,64.77
sinnamary,79.15,100,76,8.46,5.38
narsaq,44.6,87,92,3.36,60.91
hilo,75.2,94,90,4.7,19.71
port saint lucie,82.4,78,1,5.82,27.29
mahebourg,73.4,69,20,9.17,-20.41
atuona,79.51,100,0,18.07,-9.8
khandbari,50.71,60,56,0.63,27.38
rivera,39.73,89,0,6.44,-30.9
eyl,80.14,72,48,20.54,7.98
acajutla,72.4,90,20,1.3,13.59
santa barbara,69.8,63,1,4.7,34.42
beringovskiy,48.37,100,92,8.01,63.05
sao filipe,76.54,99,80,10.25,14.9
westport,52.96,98,64,3.87,53.8
ust-kut,68.26,57,64,4.65,56.78
pandhurna,77.08,91,76,13.27,21.6
klaksvik,48.2,93,80,4.7,62.23
kaitangata,40.9,89,0,2.64,-46.28
muisne,72.22,96,80,2.98,0.61
mar del plata,43.24,93,76,9.01,-46.43
titlagarh,84.73,85,44,9.69,20.29
antofagasta,57.2,67,90,3.36,-23.65
karratha,74.2,18,0,12.71,-20.74
hithadhoo,83.92,100,64,7.67,-0.6
khair,91.3,84,44,7.0,27.94
dongkan,90.22,82,48,9.46,34.0
carnarvon,32.53,85,36,5.55,-30.97
piacabucu,69.52,96,64,4.65,-10.41
saint-joseph,78.8,73,0,3.36,43.56
lethem,71.68,99,64,1.52,3.38
talnakh,50.62,81,92,8.12,69.49
pevek,46.3,89,20,9.46,69.7
phek,77.26,89,44,1.86,25.7
kapaa,84.2,83,90,19.46,22.08
la ronge,59.0,77,40,9.17,55.1
rochester,73.4,83,1,4.7,44.02
ambilobe,79.87,47,0,13.82,-13.19
booue,70.42,100,80,2.98,-0.09
raudeberg,55.4,82,92,12.75,61.99
cidreira,51.7,94,0,15.73,-30.17
shenjiamen,85.9,89,0,15.17,29.96
leamington,75.2,88,1,4.7,42.05
srandakan,80.86,53,32,11.03,-7.94
yellowknife,53.6,62,75,5.82,62.45
bethel,60.8,77,90,14.99,60.79
vila franca do campo,69.8,77,75,8.05,37.72
huilong,88.78,70,12,3.09,28.89
tlalchapa,63.85,89,68,2.19,18.41
bukama,66.91,53,0,3.2,-9.2
provideniya,47.47,97,92,23.11,64.42
san lorenzo,84.28,84,44,7.9,13.43
carlsbad,64.4,93,20,8.05,50.23
nemuro,68.0,72,75,8.05,43.32
poum,57.2,87,20,2.24,41.28
hualmay,53.59,94,36,5.1,-11.1
banda aceh,88.33,60,20,7.23,5.56
abadan,95.0,26,0,2.24,30.36
ribeira grande,71.86,100,44,9.8,38.52
san patricio,46.03,92,20,4.43,-26.98
harrisonville,84.2,44,1,6.93,38.65
yulara,62.6,27,0,24.16,-25.24
los llanos de aridane,73.4,83,64,13.87,28.66
muzaffarabad,84.01,69,8,2.75,34.37
ancud,51.43,98,92,11.03,-41.87
santa cruz,75.2,56,1,6.93,36.97
rocha,47.56,95,24,10.69,-34.48
garden city,80.6,88,1,4.99,40.73
takoradi,75.37,100,8,8.9,4.89
kijang,98.6,47,20,9.17,35.24
venice,80.6,88,90,4.7,27.1
chokurdakh,49.36,76,0,11.48,70.62
teguldet,61.15,61,8,7.34,57.31
san cristobal,51.8,87,40,4.7,-0.39
bereda,61.6,97,32,2.75,43.27
butaritari,82.48,100,32,6.44,3.07
hobart,60.8,48,75,13.87,-42.88
college,66.2,59,90,8.05,64.86
nizhniy kuranakh,57.37,63,48,5.21,58.84
ostrovnoy,53.41,79,88,6.33,68.05
yima,86.26,66,64,2.75,34.75
belmonte,68.08,55,0,3.98,40.36
beyneu,92.2,26,92,12.71,45.32
staraya mayna,73.4,73,12,4.47,54.61
port-cartier,57.2,100,20,9.01,50.03
naze,75.2,94,40,6.67,5.43
rio grande,54.4,98,68,18.3,-32.03
pacifica,78.8,87,1,3.36,37.61
kamennogorsk,59.0,100,90,3.36,60.95
shu,92.92,28,12,11.92,43.6
nelson bay,69.8,35,0,6.93,-32.72
kaeo,51.25,76,8,7.56,-35.1
